abounds	vimlar
relentlessness	oförsonlighet
reluctance	motvillighet
reluctant	motvillig
reluctantly	motvilligt
remorse	ånger
remorsefully	ånger
remorselessly	samvetslöst
renunciation	avsägelse
repetitive	repetitiva
reprehensible	klandervärd
reprehensibly	klandervärt
reprehension	KLANDER
repress	förtränga
repression	undertryckande
repressive	repressiv
reprimand	tillrättavisning
reproach	förebrå
reproachful	förebrående
reprove	förebrå
reprovingly	förebrående
repudiate	förkasta
repudiation	förkastande
repugnance	avsky
repugnant	motbjudande
repulsed	avsky
repulsive	motbjudande
repulsively	repellerande
repulsiveness	repulsions
resentful	förbittrad
resentment	förbittring
resignation	avgång
resistance	motstånd
restless	rastlös
restlessness	rastlöshet
restrict	begränsa
restricted	begränsad
restriction	restriktion
restrictive	restriktiv
retaliate	hämnas
retaliatory	motåtgärder
retard	hämma
retarded	retarderad
reticent	förtegen
retreat	reträtt
revenge	hämnd
revert	återgå
revile	smäda
revoke	återkalla
revolting	upprörande
revulsion	motvilja
revulsive	MOTVILLIG
rhapsodize	RAPSODIERA
rhetoric	retorik
rhetorical	retorisk
ridicule	förlöjliga
ridicules	preciöserna
ridiculous	löjlig
ridiculously	löjligt
rife	utbredd
rift	reva
rifts	sprickor
rigid	stel
rigidity	stelhet
rigidness	styvhet
ripped	rev
risks	risker
risky	riskabel
rivalry	rivalitet
roadblocks	spärrar
rocky	klippig
rogue	skurk
rot	ruttna
rotten	rutten
rough	grov
rubbish	skräp
rude	oförskämd
rue	ångra
ruffian	buse
ruffle	krås
ruined	förstörd
ruining	förstör
ruinous	ödeläggande
ruins	ruiner
rumbling	mullrande
rumor	rykte
rumors	rykten
rumours	rykten
rupture	brista
rust	rost
rusts	rost
rusty	rostig
rut	brunst
ruthless	hänsynslös
ruthlessly	hänsynslöst
ruthlessness	hänsynslöshet
ruts	hjulspår
sack	säck
sacrificed	offrades
sad	ledsen
sadden	bedröva
sadly	tyvärr
sadness	sorg
sag	svikta
sags	bottnar
salacious	slipprig
sanctimonious	skenhelig
sap	sav
sarcasm	sarkasm
sarcastically	sarkastiskt
sardonic	hånfull
satirical	satirisk
savage	vilde
savagery	barbari
savages	vildar
scaly	fjällig
scam	lurendrejeri
scams	bedrägerier
scandal	skandal
scandalize	SKANDALISERA
scandalous	skandal-
scandals	skandaler
scant	ringa
scapegoat	syndabock
scar	ärr
scarce	knapp
scarcely	knappt
scarcity	brist
scare	skrämma
scared	rädd
scarier	skrämmande
scarred	ärrig
scars	ärr
scary	skrämmande
scathing	skarp
sceptical	skeptisk
scoff	håna
scold	skälla
scolding	utskällning
scorching	brännhet
scorn	förakt
scornful	hånfull
scornfully	hånfullt
scoundrel	skurk
scourge	gissel
scramble	förvränga
scrambled	oordning
scrambles	blandar
scrambling	krypteringskod
scrap	skrot
scratch	repa
scratched	repig
scratches	repor
scratchy	knaster
scream	skrika
screech	tjut
screwed	skruvad
screwy	knäpp
scuff	skava
scuffs	skav
scum	avskum
secretive	hemlighetsfull
sedentary	stillasittande
seedy	krasslig
seethe	koka
seething	sjudande
self-criticism	självkritik
self-defeating	självförgörande
self-destructive	självdestruktiv
self-humiliation	SJÄLVMORD
self-interest	egenintresse
self-interested	egennyttiga
self-serving	självbetjäning
selfish	självisk
selfishly	själviskt
selfishness	själviskhet
senile	senil
senseless	meningslös
senselessly	meningslöst
seriousness	allvar
servitude	träldom
set-up	inrätta
setback	motgång
setbacks	bakslag
sever	kapa
severe	svår
severity	stränghet
shabby	sjaskig
shadowy	skuggig
shady	skuggig
shake	skaka
shaky	skakig
shallow	grund
sham	bluff
shambles	förödelse
shame	skam
shameful	skamlig
shamefully	skamligt
shameless	skamlös
shamelessly	skamlöst
shamelessness	skamlöshet
shark	haj
sharply	skarpt
shimmer	skimmer
shipwreck	förlisning
shirker	smitare
shit	Skit
shiver	darrning
shock	chock
shocked	chockade
shocking	upprörande
shockingly	chockerande
shoddy	usel
short-lived	kortlivad
shortage	brist
shortchange	short
shortcoming	brist
shortcomings	brister
shortness	korthet
shortsighted	närsynt
shortsightedness	närsynthet
showdown	uppgörelse
shrew	argbigga
shriek	skrika
shrill	gäll
shrilly	gällt
shrivel	skrumpna
shroud	svepa
shrouded	höljd
shun	sky
shunned	skytt
sick	sjuk
sicken	äcklas
sickening	kväljande
sickly	sjuklig
sickness	sjukdom
sidetrack	sidospår
sidetracked	sidospår
siege	belägring
silly	dumbom
simplistic	naiv
simplistically	förenklat
sin	synd
sinful	syndig
sinister	olycksbådande
sink	sjunka
sinking	sjunkande
skeletons	skelett
skeptic	skeptiker
skeptical	skeptisk
skeptically	skeptiskt
skepticism	skepsis
sketchy	luddigt
skimpy	snål
skinny	mager
skittish	skygg
skulk	MASKA
slack	slak
slander	förtal
slanderer	baktalare
slanderous	kränkande
slanderously	smäda
slanders	förtal
slap	slag
slaughter	slakt
slaughtered	slaktade
slave	slav
slaves	slavar
sleazy	sjaskig
slime	slem
slog	slit
sloppily	slarvigt
sloppy	slarvig
sloth	lättja
slothful	lättjefull
slow	långsam
slow-moving	långsamma
slowed	saktat
slower	långsammare
slowest	långsammaste
slowly	långsamt
slug	snigel
sluggish	trög
slump	svacka
slur	sluddra
slut	slampa
sly	slug
smallish	små
smear	smeta
smell	lukt
smelled	luktade
smelling	lukta
smells	luktar
smelly	stinkande
smelt	smälta
smoke	rök
smokescreen	dimridå
smolder	pyra
smoldering	pyrande
smother	kväva
smoulder	pyra
smouldering	pyrande
smudge	fläcka
smudged	suddig
smudges	fläckar
smudging	smetas
smug	självbelåtna
smugly	självbelåtet
snag	krux
snagging	upphakning
snags	hakar
snare	snara
snarl	morra
sneak	smyg
sneaky	lömsk
sneer	håna
sneering	hånfull
sneeringly	försmädligt
snob	snobb
snobbish	snobbig
snobby	snobbig
snub	nonchalera
soapy	tvål
sob	snyfta
sober	nykter
sobering	nyktra
solemn	högtidlig
solicitude	omtanke
somber	dyster
sore	öm
soreness	ömhet
sorrow	sorg
sorrowful	sorgsen
sorrowfully	sorgset
sorry	förlåt
sour	sur
sourly	surt
spank	daska
spew	spy
spewed	spydde
spilling	spilla
spiritless	ande
spite	trots
spiteful	hätsk
spitefully	illvilligt
spitefulness	illvilja
split	dela
splitting	delning
spoilage	förruttnelse
spoiled	bortskämd
spoils	bytet
spook	spöke
spooky	läskigt
spoon-fed	sked-fed
sporadic	sporadisk
spotty	ojämn
spurious	oäkta
spurn	förakta
sputter	fräsa
squabble	kivas
squabbling	käbbel
squander	slösa
squeak	gnissla
squeaks	gnissel
squeaky	pipig
squeal	skrika
squealing	skrikande
squeals	tjut
squirm	våndas
stab	hugg
stagnant	stagnerande
stagnate	stagnera
staid	stadgad
stain	fläck
stains	fläckar
stale	unken
stalemate	dödläge
stall	bås
stalls	parkett
stammer	stamma
stampede	panik
stark	skarp
startle	skrämma
startling	häpnadsväckande
starvation	svält
starve	svälta
static	statisk
steal	stjäla
stealing	stjäla
steals	stjäl
steep	brant
steeply	brant
stench	stank
stereotype	stereotyp
stereotypical	stereotyp
stereotypically	stereotypt
stern	akter
stew	gryta
sticky	klibbig
stiff	styv
stiffness	styvhet
stifle	kväva
stifling	kvalmig
stigmatize	stigmatisera
stinging	svidande
stingy	snål
stink	stank
stinks	stinker
stodgy	bastant
stole	stola
stolen	stulna
stooge	nickedocka
stormy	stormig
strain	anstränga
strained	spänd
straining	spännare
strange	konstig
strangely	underligt
stranger	främling
strangest	underlig
strangle	strypa
streaky	strimmig
strenuous	ansträngande
stress	påfrestning
stresses	påkänningar
stressful	stressig
stricken	drabbade
strict	sträng
strictly	strikt
strident	skärande
strife	kiv
strike	strejk
stringent	stränga
stringently	strikt
struck	slog
struggle	kamp
struggled	kämpade
struggles	kamp
struggling	kämpar
strut	stag
stubborn	envis
stubbornly	envis
stubbornness	envishet
stuck	fastnat
stuffy	tilltäppt
stumble	snubbla
stumbled	snubblat
stumbles	snubblar
stump	stubbe
stumps	stubbar
stun	bedöva
stunt	hämma
stunted	förkrympt
stupid	dum
stupidest	dummaste
stupidity	dumhet
stupidly	dumt
stupify	Stupify
stupor	dvala
stutter	stamma
stuttered	stammade
stuttering	stamning
stutters	hackar
sty	vagel
subdued	dämpad
subjected	utsattes
subjection	underkastelse
subjugate	kuva
subjugation	underkuvande
submissive	undergiven
subordinate	underlydande
subpoena	stämning
subpoenas	stämningar
subservience	underkastelse
subservient	underdånig
substandard	undermålig
subtract	subtrahera
subversion	omstörtning
subversive	omstörtande
subversively	subversivt
subvert	omstörta
suck	suga
sucked	sugs
sucker	parasit
sucks	suger
sue	stämma
sued	stämd
sues	Sues
suffer	lida
suffered	lidit
suffering	lidande
suffers	lider
suffocate	kväva
suicide	självmord
sulk	tjura
sullen	trumpen
sunk	sjunkit
sunken	nedsänkt
superficial	ytlig
superficiality	ytlighet
superficially	ytligt
superfluous	överflödig
superstition	vidskepelse
superstitious	vidskeplig
suppress	dämpa
suppression	undertryckande
surrender	överlämna
susceptible	mottaglig
suspect	misstänka
suspicion	misstanke
suspicions	misstankar
suspicious	misstänksam
suspiciously	misstänk
swagger	skryt
swamped	svämmas
sweaty	svettig
swelled	svällde
swelling	svullnad
swindle	lura
swollen	svullen
symptoms	symptom
syndrome	syndrom
taboo	tabu
tacky	klibbig
taint	bismak
tainted	fläckas
tamper	manipulera
tangle	härva
tangled	tilltrasslad
tangles	tovor
tanks	tankar
tantrum	raserianfall
tardy	långsam
tarnish	missfärgning
tarnished	anlupen
tarnishes	anlöpningar
tarnishing	mattas
tattered	trasig
taunt	håna
taunting	pika
taunts	glåpord
taut	spänd
taxing	beskatta
tease	reta
teasingly	retsamt
tedious	tråkig
temerity	dumdristighet
temper	humör
tempest	storm
temptation	frestelse
tenderness	ömhet
tense	spänd
tension	spänning
tentative	preliminär
tentatively	preliminärt
tenuous	svag
tepid	ljummen
terrible	fruktansvärd
terribly	fruktansvärt
terror	skräck
terror-genic	terror-framkallande
terrorize	terrorisera
testy	retlig
thankless	otacksam
thicker	tjockare
thirst	törst
thorny	taggig
thoughtless	tanklös
thoughtlessly	tank
thoughtlessness	tanklöshet
thrash	tröska
threat	hot
threaten	hota
threatening	hotfull
threats	hot
threesome	trekant
throb	bulta
throbbed	dunkade
throbbing	bultande
throbs	bultar
throttle	strypa
thug	gangster
thwart	omintetgöra
time-consuming	tidskrävande
timid	skygg
timidity	skygghet
timidly	blygt
tingling	stickningar
tired	trött
tiresome	tröttsam
tiring	tröttsam
toil	slit
toll	vägtull
top-heavy	topp-tung
topple	störta
torment	plåga
tormented	plågade
tortuous	slingrig
torture	tortyr
tortured	torterade
tortures	tortyr
torturous	plågsam
totalitarian	totalitär
touchy	känslig
toughness	seghet
touted	tippad
toxic	toxisk
traduce	BAKTALA
tragedy	tragedi
tragic	tragisk
tragically	tragiskt
traitor	förrädare
traitorous	förrädisk
tramp	luffare
transgress	överskrida
transgression	överträdelse
trap	fälla
traped	Traped
trapped	instängd
trash	skräp
trashed	skrotade
traumatic	traumatisk
traumatically	traumatiskt
traumatized	traumatiserad
travesty	travesti
treacherous	förrädisk
treacherously	förrädiskt
treachery	förräderi
treason	förräderi
treasonous	förrädisk
trick	lura
tricked	luras
trickery	knep
tricky	knepig
trivialize	trivialisera
trouble	problem
troubled	bekymrad
troublemaker	bråkmakare
troubles	bekymmer
troublesome	besvärlig
troublesomely	besvär
troubling	oroande
troublingly	besvär
truant	skolkare
tumble	tumla
tumbled	tumlas
tumbles	Tumbles
tumultuous	stormande
turmoil	kaos
twist	vrida
twisted	vriden
twists	vändningar
tyrannical	tyrannisk
tyrannically	tyrann
tyranny	tyranni
tyrant	tyrann
ugh	usch
uglier	fulare
ugliness	fulhet
ugly	ful
ultimatums	ultimatum
ultra-hardline	ultrahårdföre
un-viewable	un-synlig
unable	oförmögen
unacceptable	oacceptabel
unacceptably	oacceptabelt
unaccessible	oåtkomliga
unaccustomed	ovana
unachievable	ouppnåeliga
unappealing	oattraktiv
unattractive	oattraktiv
unavoidably	oundvikligt
unbearable	outhärdlig
unbelievable	otrolig
unbelievably	otroligt
uncaring	OBEKYMRAD
uncertain	osäker
uncivil	ohövlig
uncivilized	ociviliserad
unclean	oren
unclear	oklar
uncollectible	osäkra
uncomfortable	obekväm
uncomfortably	obekvämt
uncompetitive	konkurrenskraftiga
uncompromising	kompromisslös
uncompromisingly	kompromisslöst
unconfirmed	obekräftad
unconstitutional	okonstitutionellt
uncontrolled	okontrollerad
uncooperative	samarbetsvillig
undecided	obeslutsam
undefined	odefinierad
undependable	opålitliga
undercut	underskärning
undercuts	underskärningar
undercutting	underskärning
underdog	underläge
underestimate	underskattar
undermine	underminera
undermined	undermineras
undermines	undergräver
undermining	underminera
underpaid	betalda
underpowered	powered
undersized	underdimensionerade
undesirable	oönskad
undetermined	obestämd
undid	lossade
undignified	ovärdig
undissolved	oupplöst
undocumented	odokumenterad
undone	uppknäppt
undue	otillbörlig
unease	oro
uneasily	oroligt
uneasiness	oro
uneconomical	oekonomisk
unemployed	arbetslös
unequal	olika
unethical	oetisk
uneven	ojämn
uneventful	händelselös
unexpected	oväntat
unexpectedly	oväntat
unexplained	oförklarad
unfairly	Orättvist
unfaithful	otrogen
unfaithfully	trolöst
unfamiliar	obekant
unfavorable	ogynnsam
unfeeling	okänslig
unfinished	oavslutat
unfit	olämplig
unforeseen	oförutsedd
unforgiving	oförsonlig
unfortunate	olyckligt
unfortunately	tyvärr
unfounded	ogrundad
unfriendly	ovänlig
unfulfilled	ouppfylld
unfunded	ofonderad
ungovernable	oregerlig
ungrateful	otacksam
unhappily	olyckligt
unhappiness	olycka
unhappy	olycklig
unhealthy	ohälsosam
unhelpful	ohjälpsam
unimaginable	ofattbar
unimaginably	ofattbart
unimportant	oviktig
uninformed	oinformerad
uninsured	oförsäkrade
unintelligible	obegriplig
unipolar	unipolär
unjust	orättvis
unjustifiable	oberättigad
unjustifiably	oberättigat
unjustified	oberättigad
unjustly	orättvist
unkind	ovänlig
unkindly	ovänligt
unknown	okänd
unlawful	olaglig
unlawfully	olovligen
unlawfulness	rättsstridighet
unleash	frigöra
unlicensed	olicensierad
unlikely	osannolik
unlucky	olycklig
unmoved	oberörd
unnatural	onaturlig
unnecessary	onödig
unorthodox	oortodox
unpleasant	obehaglig
unpopular	impopulär
unpredictable	oförutsägbar
unprepared	oförberedd
unqualified	okvalificerad
unreachable	onåbar
unreadable	oläslig
unrealistic	orealistisk
unreasonable	orimlig
unrelenting	obeveklig
unreliability	opålitlighet
unreliable	opålitliga
unresolved	olöst
unresponsive	okänslig
unrest	oro
unruly	ostyrig
unsafe	osäker
unsatisfactory	otillfredsställande
unsavory	motbjudande
unsettling	oroande
unspeakable	outsäglig
unspecified	ospecificerad
unstable	instabil
unsure	osäker
untenable	ohållbar
unwanted	oönskade
uprising	uppror
uproar	kalabalik
uproot	utrota
upset	upprörd
upsets	störningar
useless	onyttig
usurper	inkräktare
utterly	ytterst
vagrant	luffare
vague	vag
vagueness	vaghet
vanity	fåfänga
vehemently	häftigt
vengeance	hämnd
venom	gift
vent	ventilera
vestiges	spår
vibrate	vibrera
vibrating	vibrerande
vicious	ond
viciously	illvilligt
vile	vidrig
vilify	förtala
villainous	skurkaktig
villains	skurkar
violate	kränka
violation	överträdelse
violator	lagbrytare
violent	våldsam
violently	våldsamt
volatile	flyktig
volatility	flyktighet
vomit	kräkas
vomited	kräktes
vomiting	kräkningar
vulgar	vulgär
vulnerable	sårbar
warily	varsamt
wariness	varsamhet
warlike	krigisk
warning	varning
warp	varp
warped	skev
wary	försiktig
waste	avfall
wasted	förlorad
wasteful	slösaktig
wasting	slöseri
wayward	egensinnig
weak	svag
weaken	försvaga
weakening	försvagning
weaker	svagare
weakness	svaghet
weaknesses	svagheter
weariness	trötthet
wearisome	tröttsam
weary	trötta
weed	ogräs
weep	gråta
weird	konstig
weirdly	konstigt
whimper	gnälla
whine	gnälla
whining	vinande
wicked	ond
wickedness	ondska
wild	vild
wildly	vilt
woebegone	BEDRÖVAD
womanizer	womaniser
worried	orolig
worriedly	oroligt
worries	bekymmer
worrisome	besvärlig
worry	oroa
worse	värre
worsen	förvärra
worsening	försämring
worst	värst
wound	sår
wounds	sår
wrath	vrede
wreck	förstöra
wrestle	brottas
wretched	usel
wrinkle	skrynkla
wrinkles	rynkor
wrong	fel
wrought	dekorerad
zealot	fanatiker
zealous	nitisk
