abound	abbondare
plea	richiesta
pleas	suppliche
plebeian	plebeo
plot	tracciare
plotters	plotter
ploy	stratagemma
plunder	saccheggiare
plunderer	saccheggiatore
pointless	inutile
pointlessly	inutilmente
poison	veleno
poisonous	velenoso
poisonously	velenosamente
pokey	angusto
poky	angusto
polarisation	polarizzazione
polemize	polemizzare
pollute	inquinare
polluters	inquinatori
polution	inquinamento
pompous	pomposo
poor	povero
poorly	male
posturing	atteggiamento
pout	broncio
poverty	povertà
powerless	impotente
prate	chiacchierare
prattle	balbettio
precarious	precario
precariously	precariamente
precipitate	precipitato
precipitous	precipitoso
predatory	predatore
predicament	predica
prejudge	pregiudizio
prejudice	pregiudizio
prejudices	pregiudizi
prejudicial	pregiudizievole
premeditated	premeditato
preoccupy	assorbire
preposterous	assurdo
presumptuous	presuntuoso
presumptuously	presuntuosamente
pretence	finzione
pretense	finzione
pretentious	pretenzioso
pretentiously	pretenziosamente
prevaricate	equivocare
pricey	costoso
prick	puntura
prickle	formicolio
prickles	spine
primitive	primitivo
prison	prigione
prisoner	prigioniero
problem	problema
problematic	problematico
procrastinate	procrastinare
procrastinates	procrastina
procrastination	indugio
profane	profano
profanity	profanità
prohibit	vietare
prohibitive	proibitivo
prohibitively	proibitivamente
propagandize	propagandare
proprietary	proprio
prosecute	perseguire
protest	protesta
protested	protestò
protesting	protestare
protests	proteste
protracted	protratta
provocation	provocazione
provocative	provocatorio
provoke	provocare
pry	leva
pugnacious	battagliero
pugnaciously	bellicosamente
punish	punire
punishable	punibile
punitive	punitivo
puny	gracile
puppet	fantoccio
puppets	burattini
puzzled	perplesso
puzzlement	perplessità
puzzling	sconcertante
quack	ciarlatano
qualm	nausea
qualms	scrupoli
quandary	imbarazzo
quarrel	litigare
quarrels	liti
quarrelsome	litigioso
quash	annullare
queer	strano
questionable	discutibile
quibble	cavillare
quibbles	cavilli
rabid	rabbioso
racism	razzismo
racist	razzistA
racists	razzisti
racy	vivace
radical	radicale
radicalization	radicalizzazione
radically	radicalmente
rage	rabbia
ragged	cencioso
raging	furioso
rail	rotaia
raked	rastrellato
rampage	furia
rampant	dilagante
ramshackle	sgangherato
rancor	rancore
rant	declamazione
ranting	invettiva
rants	sproloqui
rape	stupro
raped	violentata
raping	stupro
rascal	mascalzone
rascals	mascalzoni
rattle	sonaglio
rattled	scosso
rattles	sonagli
ravage	devastare
raving	delirio
reactionary	reazionario
rebellious	ribelle
rebuff	rifiuto
rebuke	rimprovero
recalcitrant	ricalcitrante
recant	ritrattare
recession	recessione
recessionary	recessiva
reckless	spericolato
recklessly	incautamente
recklessness	temerarietà
recoil	rinculo
recourses	ricorsi
redundancy	ridondanza
redundant	ridondante
refusal	rifiuto
refuse	rifiuto
refused	rifiutato
refuses	rifiuta
refusing	rifiuto
refutation	confutazione
refute	confutare
refuted	confutato
refutes	confuta
refuting	confutare
regress	regredire
regression	regressione
regressive	regressivo
regret	rimpiangere
regrets	rimpianti
regrettable	deplorevole
regrettably	purtroppo
regretted	pentito
reject	rifiutare
rejected	respinto
rejecting	respingendo
rejection	rifiuto
rejects	respinge
relapse	ricaduta
relentless	implacabile
reluctance	riluttanza
reluctant	riluttante
remorse	rimorso
remorsefully	rimorso
remorseless	spietato
remorselessness	spietatezza
renounce	rinunciare
renunciation	rinuncia
repel	respingere
repetitive	ripetitivo
reprehensible	riprovevole
reprehensibly	riprovevole
reprehensive	riprensibili
repress	reprimere
repression	repressione
repressive	repressivo
reprimand	rimproverare
reproach	rimprovero
reprove	riprendere
reprovingly	rimprovero
repudiate	ripudiare
repudiation	ripudio
repugnance	ripugnanza
repugnant	ripugnante
repugnantly	ripugnante
repulse	respingere
repulsed	respinto
repulsive	ripugnante
resentful	risentito
resentment	risentimento
resignation	dimissioni
resigned	rassegnato
resistance	resistenza
restless	irrequieto
restlessness	irrequietezza
restrict	limitare
restricted	limitato
restriction	restrizione
restrictive	restrittivo
resurgent	risorgente
retaliate	rivalersi
retaliatory	rappresaglia
retard	ritardare
retarded	ritardato
retards	ritarda
reticent	reticente
retract	ritrattare
retreat	ritiro
retreated	ritirato
revenge	vendetta
revengeful	vendicativo
revert	ritornare
revile	ingiuriare
reviled	vituperato
revoke	revocare
revolt	rivolta
revolting	orrendo
revoltingly	disgustosamente
revulsion	repulsione
rhetoric	retorica
rhetorical	retorico
ridicule	ridicolo
ridicules	ridicolo
ridiculous	ridicolo
ridiculously	ridicolosamente
rife	abbondante
rift	spaccatura
rifts	spaccature
rigid	rigido
rigidity	rigidità
rigidness	rigidità
rile	irritare
rip-off	strappare
ripoff	strappare
ripped	strappato
risk	rischio
risks	rischi
risky	rischioso
rival	rivale
rivalry	rivalità
rocky	roccioso
rogue	furfante
rot	marcire
rotten	marcio
rough	ruvido
rubbish	sciocchezze
rude	maleducato
rue	ruta
ruffian	facinoroso
ruffle	increspatura
ruin	rovinare
ruined	rovinato
ruining	rovinando
ruinous	rovinoso
ruins	rovine
rumbling	brontolio
rumor	pettegolezzo
rumors	voci
rumours	voci
rumple	arruffare
runaway	scappa
rupture	rottura
rust	ruggine
rusts	ruggini
rusty	arrugginito
rut	carreggiata
ruthless	spietato
ruthlessly	spietatamente
ruthlessness	spietatezza
ruts	solchi
sabotage	sabotaggio
sack	sacco
sacrificed	sacrificato
sad	triste
sadden	rattristare
sadly	purtroppo
sadness	tristezza
sag	incurvarsi
sagged	afflosciò
sagging	cascante
saggy	cedevole
sags	abbassamenti
salacious	salace
sanctimonious	bigotto
sap	linfa
sarcasm	sarcasmo
sarcastic	sarcastico
sarcastically	sarcasticamente
sardonic	sardonico
sardonically	sardonicamente
sass	insolenza
satirical	satirico
satirize	satireggiare
savage	selvaggio
savagery	ferocia
savages	selvaggi
scaly	squamoso
scam	truffa
scams	truffe
scandal	scandalo
scandalize	scandalizzare
scandalized	scandalizzato
scandalous	scandaloso
scandalously	scandalosamente
scandals	scandali
scant	scarso
scar	cicatrice
scarce	scarso
scarcely	appena
scarcity	scarsità
scare	spavento
scared	impaurito
scarred	sfregiato
scars	cicatrici
scary	pauroso
scathing	caustico
sceptical	scettico
scoff	deridere
scoffingly	derisione
scold	sgridare
scolded	rimproverò
scolding	rimprovero
scorching	rovente
scorn	disprezzo
scornful	sprezzante
scornfully	sprezzante
scoundrel	farabutto
scourge	flagellare
scowl	cipiglio
scramble	corsa
scrambled	strapazzate
scrambles	arrampica
scrambling	rimescolando
scrap	rottame
scratch	graffiare
scratched	graffiato
scratches	graffi
scratchy	ruvido
scream	urlare
screech	stridio
screw-up	rovinare
screwed	avvitato
screwed-up	avvitato
screwy	matto
scuff	strascicare
scuffs	graffi
scum	feccia
scummy	schiumoso
secretive	segreto
sedentary	sedentario
seethe	ribollire
seething	ribollente
self-criticism	autocritica
self-defeating	controproducente
self-destructive	autodistruttivo
self-humiliation	auto-umiliazione
self-interested	auto-interessati
selfish	egoista
selfishly	egoisticamente
selfishness	egoismo
semi-retarded	semi-ritardato
senseless	insensato
senselessly	insensatamente
seriousness	gravità
servitude	schiavitù
set-up	impostare
setback	contrattempo
sever	separarsi
severe	grave
severity	gravità
shabby	squallido
shadowy	ombroso
shady	ombreggiato
shake	scuotere
shaky	traballante
shallow	superficiale
sham	finzione
shambles	caos
shame	vergogna
shameful	vergognoso
shamefully	vergognosamente
shamefulness	vergogna
shamelessly	spudoratamente
shamelessness	spudoratezza
shark	squalo
sharply	acutamente
shatter	frantumare
shemale	Transessuali
shimmer	bagliore
shipwreck	naufragio
shirk	sottrarre
shirker	scansafatiche
shit	merda
shiver	brivido
shocked	scioccato
shocking	scioccante
shockingly	scandalosamente
shoddy	scadente
short-lived	fugace
shortage	carenza
shortcoming	difetto
shortcomings	carenze
shortness	brevità
shortsighted	miope
shortsightedness	miopia
shrew	toporagno
shriek	strillare
shrill	stridulo
shrilly	stridula
shrivel	avvizzire
shroud	sudario
shun	schivare
shunned	evitato
sick	malato
sicken	ammalarsi
sickening	nauseabondo
sickeningly	disgustosamente
sickly	malaticcio
sickness	malattia
sidetrack	sviare
siege	assedio
silly	sciocco
simplistic	semplicistico
simplistically	semplicisticamente
sin	peccato
sinful	peccaminoso
sinfully	peccaminosamente
sinister	sinistro
sinisterly	sinistramente
sink	Lavello
sinking	naufragio
skeletons	scheletri
skeptic	scettico
skeptical	scettico
skeptically	scettica
skepticism	scetticismo
sketchy	abbozzato
skimpy	striminzito
skinny	magro
skittish	ombroso
skulk	nascondersi
slack	allentato
slander	calunnia
slanderer	calunniatore
slanderous	calunnioso
slanders	calunnie
slap	schiaffo
slashing	tagliando
slaughter	macello
slaughtered	macellati
slave	schiavo
slaves	schiavi
sleazy	squallido
slime	limo
slog	sgobbare
sloow	Sloow
sloppy	sciatto
sloth	bradipo
slothful	indolente
slow	lento
slowed	rallentato
slowly	lentamente
slug	lumaca
sluggish	lento
slump	crollo
slumping	crolli
slur	legatura
sluts	troie
sly	sornione
smack	schiaffo
smash	distruggere
smear	sbavatura
smell	odore
smelled	odore
smelling	odorare
smells	odori
smelly	puzzolente
smelt	sperlano
smoke	Fumo
smoldering	fumanti
smother	soffocare
smouldering	fumanti
smudge	macchia
smudged	sbavato
smudges	sbavature
smudging	sbavature
smug	compiaciuto
smugly	compiaciuto
smut	oscenità
smutty	fuligginoso
snag	intoppo
snagging	sbavatura
snags	strappi
snappish	permaloso
snare	laccio
snarl	ringhio
sneak	spione
sneaky	subdolo
sneer	sogghigno
sneering	beffardo
sneeringly	beffardamente
snobbish	snob
snobby	snob
snobs	snob
snub	affronto
so-cal	così-cal
soapy	insaponato
sob	singhiozzare
sober	sobrio
solemn	solenne
solicitude	sollecitudine
somber	tetro
sore	dolorante
sorely	dolorosamente
soreness	indolenzimento
sorrow	tristezza
sorrowful	dolente
sorrowfully	tristemente
sorry	scusa
sour	aspro
sourly	acidamente
spade	vanga
spank	sculacciare
spew	vomitare
spewed	vomitato
spewing	vomitando
spews	SPEWS
spilling	versamento
spinster	zitella
spiritless	avvilito
spite	dispetto
spiteful	dispettoso
spitefully	dispettosamente
splatter	schizzare
split	Diviso
splitting	scissione
spoil	rovinare
spoilage	deterioramento
spoiled	viziato
spoils	bottino
spook	spettro
spookier	schivo
spooky	spaventoso
spoon-fed	nutriti
sporadic	sporadico
spotty	macchiato
spurious	spuria
spurn	respingere
sputter	farfugliare
squabble	battibecco
squabbling	litigi
squander	sperperare
squash	schiacciare
squeak	squittio
squeaks	cigolii
squeaky	stridulo
squeal	strillo
squealing	strillando
squeals	strilli
squirm	contorcersi
stab	pugnalata
stagnant	stagnante
stagnate	ristagnare
stagnation	stagnazione
staid	compassato
stain	macchia
stains	macchie
stale	stantio
stalemate	stallo
stall	stalla
stalls	stalle
stammer	balbettare
standstill	arresto
stark	rigido
starkly	crudamente
startle	spaventare
startling	sorprendente
startlingly	sorprendentemente
starvation	fame
static	statico
steal	rubare
stealing	furto
steals	ruba
steep	ripido
steeply	ripidamente
stench	fetore
stereotype	stereotipo
stereotypical	stereotipato
stereotypically	stereotipicamente
stern	poppa
stew	stufato
sticky	appiccicoso
stiff	rigido
stiffness	rigidezza
stifle	soffocare
stifling	soffocante
stigmatize	stigmatizzare
sting	puntura
stinging	pungente
stingy	avaro
stink	puzza
stinks	puzza
stodgy	indigesto
stolen	rubare
stooge	fantoccio
stooges	tirapiedi
stormy	tempestoso
straggle	disperdersi
straggler	disperso
strain	sforzo
strained	teso
straining	sforzare
strange	strano
strangely	stranamente
stranger	sconosciuto
strangle	strangolare
strenuous	faticoso
stresses	sollecitazioni
stressful	stressante
stricken	colpito
strict	rigoroso
strictly	rigorosamente
strident	stridente
stridently	stridente
strife	conflitto
strike	sciopero
stringent	rigoroso
stringently	rigorosamente
struck	colpito
struggle	lotta
struggled	lottato
struggles	lotte
struggling	lottando
strut	pavoneggiarsi
stubborn	testardo
stubbornly	ostinatamente
stubbornness	testardaggine
stuck	incollato
stuffy	chiuso
stumble	inciampare
stumbled	inciampato
stumbles	inciampa
stump	ceppo
stumped	perplesso
stumps	monconi
stun	stordire
stunt	acrobazia
stunted	rachitico
stupid	stupido
stupidest	stupido
stupidity	stupidità
stupidly	stupidamente
stupor	stupore
stutter	balbettare
stuttered	balbettato
stuttering	balbuzie
stutters	balbetta
sty	porcile
subdued	sottomesso
subjected	sottoposto
subjection	soggezione
subjugate	soggiogare
subjugation	soggiogazione
submissive	sottomesso
subordinate	subordinare
subpoena	citazione
subservience	sottomissione
subservient	sottomesso
substandard	scadente
subtract	sottrarre
subversion	sovversione
subversive	sovversivo
subversively	sovversivo
subvert	sovvertire
succumb	soccombere
suck	succhiare
sucked	succhiato
sucker	ventosa
sucks	succhia
sues	Sues
suffer	soffrire
suffered	subito
sufferer	malato
suffering	sofferenza
suffers	soffre
suffocate	soffocare
sugar-coat	zucchero-coat
suicidal	suicida
suicide	suicidio
sulk	broncio
sullen	scontroso
sully	macchiare
sunder	scindere
sunk	affondato
sunken	affondata
superficial	superficiale
superficiality	superficialità
superficially	superficialmente
superfluous	superfluo
superstition	superstizione
superstitious	superstizioso
suppress	reprimere
suppression	repressione
surrender	resa
susceptible	suscettibile
suspect	sospettare
suspicion	sospetto
suspicions	sospetti
suspicious	sospetto
swagger	pavoneggiarsi
swamped	sommerso
sweaty	sudato
swelled	gonfiato
swelling	gonfiore
swindle	truffa
swipe	rubare
swollen	gonfio
symptom	sintomo
symptoms	sintomi
syndrome	sindrome
taboo	tabù
tacky	viscoso
taint	macchia
tainted	contaminato
tamper	manomettere
tangle	groviglio
tangled	ingarbugliato
tangles	grovigli
tanked	tankato
tantrum	collera
tardy	tardivo
tarnish	offuscare
tarnished	appannato
tarnishes	appanna
tarnishing	appannamento
tattered	sbrindellato
taunt	schernire
taunting	scherno
taunts	insulti
taut	teso
tawdry	pacchiano
taxing	oneroso
tease	stuzzicare
teasingly	scherzosamente
tedious	noioso
tediously	noiosamente
temerity	audacia
temper	temperare
tempest	tempesta
temptation	tentazione
tenderness	tenerezza
tense	teso
tension	tensione
tentative	provvisorio
tentatively	provvisoriamente
tenuous	tenue
tepid	tiepido
terrible	terribile
terribleness	terribilità
terribly	terribilmente
terror	terrore
terror-genic	terror-genica
terrorism	terrorismo
terrorize	terrorizzare
testy	irritabile
tetchy	irritabile
thankless	ingrato
thicker	spessa
thirst	sete
thorny	spinoso
thoughtlessly	sconsideratamente
thoughtlessness	sconsideratezza
thrash	bastonare
threat	minaccia
threaten	minacciare
threatening	minaccioso
threats	minacce
threesome	terzetto
throb	pulsare
throbbed	pulsava
throbbing	pulsazione
throbs	pulsa
thug	teppista
thwart	contrastare
timid	timido
timidity	timidezza
timidly	timidamente
tin-y	stagno-y
tingled	formicolato
tingling	formicolio
tired	stanco
tiresome	faticoso
tiring	faticoso
tiringly	faticosamente
toil	fatica
toll	Pedaggio
top-heavy	sbilanciato
topple	rovesciare
torment	tormento
tormented	tormentato
torrent	torrente
tortuous	tortuoso
torture	tortura
tortured	torturati
tortures	torture
torturing	torturando
torturous	tortuoso
totalitarian	totalitario
touchy	permaloso
toughness	durezza
touted	propagandato
touts	bagarini
toxic	tossico
traduce	calunniare
tragedy	tragedia
tragic	tragico
tragically	tragicamente
traitor	traditore
traitorous	traditore
traitorously	tradimento
tramp	vagabondo
trample	calpestare
transgress	trasgredire
transgression	trasgressione
trap	trappola
traped	Traped
trapped	intrappolati
trash	spazzatura
trashed	Cestinati
trashy	scadente
traumatic	traumatico
traumatically	traumaticamente
traumatize	traumatizzare
traumatized	Traumatizzato
travesties	travestimenti
travesty	parodia
treacherous	infido
treacherously	proditoriamente
treachery	tradimento
treason	tradimento
trick	trucco
tricked	ingannato
trickery	inganno
tricky	difficile
trivial	banale
trivialize	banalizzare
trouble	guaio
troubled	agitato
troublemaker	piantagrane
troubles	guai
troublesome	fastidioso
troublesomely	fastidiosamente
troubling	preoccupante
truant	pigro
tumble	caduta
tumbled	caduto
tumultuous	tumultuoso
turbulent	turbolento
turmoil	agitazione
twisted	contorto
tyrannical	tirannico
tyrannically	tirannicamente
tyranny	tirannia
tyrant	tiranno
ugliness	bruttezza
ugly	brutta
ulterior	ulteriore
ultimatums	ultimatum
un-viewable	non-visibile
unable	incapace
unacceptable	inaccettabile
unacceptably	inaccettabilmente
unaccustomed	insolito
unachievable	irraggiungibile
unaffordable	insostenibile
unavoidably	inevitabilmente
unbearable	insopportabile
unbelievable	incredibile
unbelievably	incredibilmente
uncaring	menefreghista
uncertain	incerto
uncivil	incivile
uncivilized	incivile
unclean	immondo
uncomfortable	scomodo
uncomfortably	disagio
uncomfy	scomodi
uncompromising	intransigente
unconstitutional	anticostituzionale
uncontrolled	sfrenato
uncouth	rozzo
undecided	indeciso
undependable	inaffidabile
undercut	sottosquadro
undercuts	sottosquadri
undercutting	sottoquotazione
underdog	perdente
underestimate	sottovalutare
underlings	subalterni
undermine	minare
undermined	minato
undermines	mina
undermining	minando
underpaid	sottopagato
underpowered	sottodimensionato
undesirable	indesiderabile
undetermined	indeterminato
undone	disfatto
undue	indebito
unease	disagio
uneasily	disagio
uneasiness	disagio
uneasy	inquieto
uneconomical	antieconomico
unemployed	disoccupato
unequal	ineguale
uneven	irregolare
unexpected	inaspettato
unexpectedly	inaspettatamente
unfairly	ingiustamente
unfaithful	infedele
unfamiliar	sconosciuto
unfavorable	sfavorevole
unfeeling	insensibile
unfinished	incompiuto
unfit	inadatto
unforeseen	imprevisto
unforgiving	imperdonabile
unfortunate	sfortunato
unfortunately	purtroppo
unfounded	infondato
unfriendly	ostile
unfulfilled	insoddisfatto
ungovernable	indisciplinato
ungrateful	ingrato
unhappily	infelicemente
unhappiness	infelicità
unhappy	infelice
unhealthy	malsano
unhelpful	inutile
unilateralism	unilateralismo
unimaginable	inimmaginabile
unimaginably	inimmaginabilmente
unimportant	irrilevante
uninformed	disinformato
unintelligible	incomprensibile
unipolar	unipolare
unjust	ingiusto
unjustifiable	ingiustificabile
unjustifiably	ingiustificatamente
unjustified	ingiustificato
unjustly	Ingiustamente
unkind	scortese
unknown	sconosciuto
unlawful	illegale
unlawfully	abusivamente
unlawfulness	illegittimità
unleash	sguinzagliare
unlikely	improbabile
unlucky	sfortunato
unmoved	fermo
unnatural	innaturale
unnaturally	innaturalmente
unnerve	snervare
unnerved	snervato
unnerving	snervante
unnoticed	inosservato
unobserved	inosservato
unpleasant	sgradevole
unpopular	impopolare
unpredictable	imprevedibile
unprepared	impreparato
unproductive	improduttivo
unprofitable	infruttuoso
unravel	sbrogliare
unraveled	districato
unreachable	irraggiungibile
unreadable	illeggibile
unreasonable	irragionevole
unreasonably	irragionevolmente
unrelenting	inesorabile
unrelentingly	inesorabilmente
unreliability	inaffidabilità
unreliable	inaffidabile
unresolved	irrisolto
unrest	agitazione
unruly	indisciplinato
unsafe	pericoloso
unsatisfactory	insoddisfacente
unsavory	sgradevole
unsecure	insicuro
unseemly	sconveniente
unsettle	sconvolgere
unsettled	incerto
unsettling	inquietante
unsound	debole
unspeakable	indicibile
unspecified	imprecisato
unstable	instabile
unsteadily	incerto
unsteadiness	instabilità
unsteady	instabile
unsupported	supportato
unsure	incerto
unsuspecting	ignaro
unsustainable	insostenibile
untenable	insostenibile
unthinkable	impensabile
untimely	prematuro
untouched	intatto
untrue	falso
untrustworthy	inaffidabile
unusable	inutilizzabile
unuseable	inutilizzabile
unusual	insolito
unusually	insolitamente
unviewable	visualizzabile
unwarranted	ingiustificato
unwatchable	inguardabile
unwelcome	sgradito
unwell	indisposto
unwieldy	ingombrante
unwilling	riluttante
unwillingly	controvoglia
unwillingness	riluttanza
unwise	malaccorto
unwisely	incautamente
unworkable	inattuabile
unworthy	indegno
unyielding	inflessibile
upbraid	rimproverare
upheaval	sconvolgimento
uprising	rivolta
uproar	tumulto
uproarious	tumultuoso
uproot	sradicare
upset	irritato
upsets	disturbi
upsetting	sconvolgente
urgent	urgente
useless	inutili
usurp	usurpare
usurper	usurpatore
utterly	completamente
vagrant	vagabondo
vague	vago
vagueness	indeterminatezza
vain	vano
vainly	invano
vanity	vanità
vehement	veemente
vehemently	veemenza
vengeance	vendetta
vengeful	vendicativo
venom	veleno
venomous	velenoso
venomously	velenosamente
vent	sfogo
vestiges	vestigia
vex	vessare
vexation	irritazione
vexing	assillante
vibrate	vibrare
vibrated	vibrato
vibrates	vibra
vibrating	vibrante
vibration	vibrazione
vicious	vizioso
viciously	cattiveria
viciousness	viziosità
victimize	vittimizzare
vileness	viltà
vilify	diffamare
villainous	malvagio
villains	cattivi
vindictive	vendicativo
vindictiveness	vendicatività
violate	violare
violation	violazione
violator	trasgressore
violators	trasgressori
violent	violento
violently	violentemente
viper	vipera
virulence	virulenza
virulent	virulento
virulently	virulento
vociferous	vociferante
volatility	volatilità
vomit	vomito
vomited	vomitato
vomiting	vomito
vomits	vomita
vulgar	volgare
vulnerable	vulnerabile
wack	Wack
wail	lamento
wallow	sguazzare
wane	declino
waning	declino
wanton	lascivo
war-like	guerra-like
warily	circospezione
wariness	cautela
warlike	bellicoso
warned	avvertito
warning	avvertimento
warp	ordito
warped	deformato
wary	diffidente
washed-out	lavato
waste	rifiuto
wasted	sprecato
wasteful	dispendioso
wastefulness	prodigalità
wasting	sprecare
water-down	diluire
watered-down	annacquato
wayward	ribelle
weak	debole
weaken	indebolire
weakening	indebolimento
weakness	debolezza
weaknesses	debolezze
weariness	stanchezza
wearisome	faticoso
weary	stanco
wedge	cuneo
weed	erba
weep	piangere
weird	strano
weirdly	stranamente
wheedle	adulare
whimper	piagnucolare
whine	gemito
whining	piagnisteo
whiny	lamentosa
whips	fruste
whore	puttana
whores	puttane
wicked	malvagio
wickedly	perfidamente
wickedness	malvagità
wild	selvaggio
wildly	selvaggiamente
wiles	Wiles
wilt	appassire
wily	astuto
wimpy	Wimpy
wince	sussultare
wobble	oscillare
wobbled	vacillato
wobbles	traballa
woe	dolore
woebegone	addolorato
woeful	doloroso
womanizer	donnaiolo
womanizing	donnaiolo
worn	logoro
worried	preoccupato
worriedly	preoccupato
worries	preoccupazioni
worrisome	preoccupante
worry	preoccupazione
worrying	preoccupante
worryingly	preoccupante
worse	peggio
worsen	peggiorare
worsening	peggioramento
worst	peggio
worthlessness	indegnità
wound	ferita
wounds	ferite
wrangle	disputa
wrath	ira
wreak	sfogare
wreaks	Provoca
wreck	relitto
wrest	strappare
wrestle	lottare
wretch	disgraziato
wretched	infelice
wretchedly	miseramente
wretchedness	miseria
wrinkle	grinza
wrinkled	rugoso
wrinkles	rughe
writhe	contorcersi
wrong	sbagliato
wrongful	illegittimo
wrought	battuto
yawn	sbadiglio
zealot	fanatico
zealous	zelante
zealously	zelo
