abound	abonder
shun	éviter
shunned	évité
sick	malade
sickening	écœurant
sickeningly	écœurant
sickly	maladif
sickness	maladie
sidetrack	dérouter
sidetracked	dérouté
siege	siège
silly	idiot
simplistic	simpliste
sin	péché
sinful	coupable
sinfully	pécheresse
sinister	sinistre
sinisterly	sinistrement
sink	évier
sinking	naufrage
skeletons	squelettes
skeptic	sceptique
skeptical	sceptique
skepticism	scepticisme
sketchy	vague
skimpy	maigre
skinny	maigre
skittish	ombrageux
skittishly	maladroitement
slack	mou
slander	calomnie
slanderer	calomniateur
slanderous	diffamatoire
slanderously	calomnieusement
slanders	calomnies
slap	gifler
slashing	couper
slaughter	abattage
slaughtered	abattu
slave	esclave
sleazy	sordide
slime	vase
slog	bosser
slogged	malmené
slogging	fouetter
sloppily	négligemment
sloppy	négligé
slothful	paresseux
slow	lent
slowed	ralenti
slower	Ralentissez
slowly	lentement
sloww	ralentir
slowww	slowwww
slug	limace
sluggish	paresseux
slump	marasme
slumping	effondré
slumpping	trébucher
slur	liaison
slut	salope
sluts	salopes
sly	sournois
smack	claque
smallish	petit
smash	fracasser
smear	frottis
smell	odeur
smelled	sentait
smelling	odeur
smells	odeurs
smelly	malodorant
smelt	éperlan
smoke	fumée
smolder	couver
smoldering	fumant
smother	étouffer
smoulder	couver
smouldering	fumant
smudge	tache
smudged	taché
smudges	taches
smudging	baveux
smug	suffisant
smut	cochonneries
smuttiest	fiévreux
smutty	cochon
snag	accroc
snagged	accroché
snagging	accrochage
snappish	hargneux
snappishly	brusquement
snare	piège
snarl	gronder
sneakily	sournoisement
sneaky	sournois
sneer	ricanement
sneering	ricaner
sneeringly	sournoisement
snobbish	snob
snobish	snob
snub	snober
soapy	savonneux
sob	sanglot
sober	sobre
solemn	solennel
solicitude	sollicitude
somber	sombre
sore	endolori
sorely	grandement
soreness	douleur
sorrow	chagrin
sorrowful	douloureux
sorrowfully	tristement
sorry	Pardon
sour	acide
sourly	aigrement
spade	bêche
spank	fesser
spendy	dépensé
spew	vomir
spewed	craché
spewing	cracher
spews	Spews
spilling	effusion
spite	dépit
spiteful	malveillant
spitefully	méchamment
spitefulness	méchanceté
splatter	éclabousser
split	Divisé
splitting	scission
spoil	gâcher
spoilage	détérioration
spoilages	gâchis
spoiled	gâté
spoils	dépouilles
spook	effrayer
spooky	effrayant
sporadic	sporadique
spurious	faux
sputter	cracher
squabble	querelle
squander	gaspiller
squash	écraser
squeak	grincer
squeaks	couine
squeaky	grinçant
squeal	hurler
squealing	crissement
squeals	cris
stab	poignarder
stagnate	stagner
stain	tache
stains	taches
stale	vicié
stalemate	impasse
stall	stalle
stalls	stalles
stammer	balbutier
stampede	débandade
standstill	arrêt
stark	rigide
starkly	sévèrement
startle	surprendre
startling	surprenant
startlingly	étonnamment
starvation	famine
starve	affamer
static	statique
steal	voler
stealing	vol
steals	vole
steep	raide
steeply	raide
stench	puanteur
stereotype	stéréotype
stereotypical	stéréotypé
stereotypically	stéréotypiquement
stern	arrière
stew	Ragoût
sticky	gluant
stiff	rigide
stiffness	rigidité
stifle	étouffer
stifling	étouffant
stiflingly	étouffant
stigma	stigmate
stigmatize	stigmatiser
sting	piquer
stinging	piqûre
stingingly	cuisant
stingy	avare
stink	puanteur
stinks	pue
stodgy	lourd
stolen	volé
stooge	larbin
stormy	orageux
straggle	lutter
straggler	traînard
strain	souche
strained	tendu
straining	forcer
strange	étrange
strangely	étrangement
stranger	étranger
strangle	étrangler
streaky	strié
strenuous	ardu
stresses	contraintes
stressful	stressant
stressfully	stressant
stricken	sinistré
strictly	strictement
stridently	stridentement
strife	conflit
stringent	strict
stringently	rigoureusement
struck	frappé
struggle	lutte
struggled	lutté
struggles	luttes
struggling	luttant
stubborn	têtu
stubbornly	obstinément
stubbornness	entêtement
stuck	coincé
stuffy	bouché
stumble	trébucher
stumbled	trébuché
stumbles	trébuche
stump	souche
stumped	perplexe
stumps	souches
stun	étourdir
stunt	cascade
stunted	rabougri
stupid	stupide
stupidest	stupide
stupidity	stupidité
stupidly	stupidement
stupified	stupéfié
stupify	stupéfier
stupor	stupeur
stutter	bégayer
stuttered	bégayé
stuttering	bégaiement
stutters	bégaie
sty	porcherie
stymied	contrecarré
sub-par	sous-par
subdued	tamisé
subjected	soumis
subjection	sujétion
subjugate	subjuguer
subjugation	assujettissement
submissive	soumis
subordinate	subalterne
subpoena	assignation
subpoenas	assignations
subservience	asservissement
subservient	servile
subtract	soustraire
subversive	subversif
subversively	subversivement
subvert	subvertir
succumb	succomber
suck	sucer
sucked	aspiré
sucker	ventouse
sucks	suce
sued	poursuivi
sueing	poursuivre
sues	poursuivre
suffer	souffrir
suffered	souffert
sufferer	victime
sufferers	souffrant
suffering	Souffrance
suffers	souffre
suffocate	étouffer
suicidal	suicidaire
sulk	bouder
sullen	renfrogné
sully	souiller
sunder	séparer
sunk	coulé
sunken	creux
superficial	superficiel
superficially	superficiellement
superfluous	superflu
superstitious	superstitieux
suppress	réprimer
surrender	abandon
susceptible	sensible
suspicion	soupçon
suspicions	soupçons
suspicious	méfiant
suspiciously	soupçonneusement
swagger	fanfaronner
swamped	submergé
swelled	gonflé
swelling	gonflement
swindle	escroquerie
swipe	balayer
swollen	gonflé
symptom	symptôme
symptoms	symptômes
taboo	tabou
tacky	collant
taint	entacher
tainted	entaché
tamper	altérer
tangle	enchevêtrement
tangled	emmêlé
tangles	emmêles
tank	réservoir
tanked	tanké
tanks	réservoirs
tantrum	colère
tardy	tardif
tarnish	ternir
tarnished	terni
tarnishes	ternit
tarnishing	ternir
taunt	raillerie
taunting	railler
tauntingly	railleur
taunts	provocations
taut	tendu
tawdry	clinquant
taxing	taxation
tease	taquiner
teasingly	taquiner
tedious	fastidieux
tediously	fastidieusement
temerity	témérité
temper	tempérer
tempest	tempête
temptation	tentation
tenderness	tendresse
tense	tendu
tentative	provisoire
tentatively	provisoirement
tenuous	ténu
tenuously	ténu
tepid	tiède
terribly	terriblement
terror-genic	terreur-génique
terrorism	terrorisme
terrorize	terroriser
testy	grincheux
tetchy	irritable
thankless	ingrat
thorny	épineux
thoughtless	irréfléchi
thoughtlessly	étourdiment
thoughtlessness	légèreté
thrash	débattre
threat	menace
threaten	menacer
threatening	menaçant
threesome	trio
throb	palpiter
throbbed	palpité
throbbing	battement
throbs	battements
throttle	étrangler
thug	voyou
thwart	contrecarrer
time-consuming	long
timid	timide
timidity	timidité
timidly	timidement
timidness	timidité
tin-y	minuscule
tingled	tinté
tingling	picotement
tired	fatigué
tiresome	fatigant
tiring	fatigant
tiringly	fatiguant
toil	labeur
toll	péage
top-heavy	haut-lourd
topple	renverser
torment	tourmenter
tormented	tourmenté
tortuous	tortueux
tortured	torturé
torturing	torturer
torturous	tortueux
torturously	tortueusement
totalitarian	totalitaire
touchy	suceptible
toughness	dureté
touted	vanté
touts	rabatteurs
toxic	toxique
traduce	calomnier
tragic	tragique
tragically	tragiquement
traitor	traitre
traitorous	traître
traitorously	traître
trample	bafouer
transgress	transgresser
trap	piège
traped	piégé
trapped	piégé
trash	poubelle
trashed	saccagé
trashy	trash
trauma	traumatisme
traumatic	traumatique
traumatically	traumatisant
traumatize	traumatiser
traumatized	traumatisé
travesty	travestir
treacherous	perfide
treacherously	traîtreusement
treachery	traîtrise
treason	trahison
treasonous	traître
trick	tour
tricked	trompé
trickery	tromperie
tricky	rusé
trivial	banal
trivialize	banaliser
trouble	difficulté
troubled	troublé
troublesome	gênant
troublesomely	ennuyeusement
troubling	troublant
troublingly	troublant
truant	absent
tumble	chute
tumbled	dégringolé
tumbles	dégringole
tumultuous	tumultueux
twist	torsion
twisted	tordu
twists	rebondissements
tyrannical	tyrannique
tyrannically	tyranniquement
tyranny	tyrannie
tyrant	tyran
ugh	Pouah
ugly	laid
ulterior	ultérieur
un-viewable	non-visible
unable	incapable
unacceptable	inacceptable
unacceptablely	inacceptable
unacceptably	inacceptable
unaccessible	inaccessible
unaccustomed	inhabituel
unachievable	irréalisable
unaffordable	inabordable
unappealing	désagréable
unavailable	indisponible
unavoidably	inévitablement
unbearable	insupportable
unbearablely	insupportablement
unbelievable	incroyable
unbelievably	incroyablement
uncaring	indifférent
uncertain	incertain
uncivil	impoli
uncivilized	sauvage
unclean	impur
uncollectible	irrécouvrable
uncomfortable	inconfortable
uncomfortably	inconfortablement
uncomfy	inconfortable
uncompromising	intransigeant
unconstitutional	inconstitutionnel
uncontrolled	incontrôlé
uncouth	grossier
undecided	indécis
undefined	indéfini
undependability	non-dépendante
undependable	indescriptible
undercut	saper
undercuts	contre-dépouilles
undercutting	sous-cotation
underdog	opprimé
underestimate	sous-estimer
underlings	subalterne
undermine	saper
undermined	miné
undermines	sape
undermining	saper
underpaid	sous-payés
underpowered	sous-alimenté
undesirable	indésirable
undetermined	indéterminé
undid	défait
undignified	indigne
undone	défait
undue	indu
uneasiness	malaise
uneasy	inquiet
unequal	inégal
unethical	immoral
uneven	inégal
unexpected	inattendu
unexplained	inexpliqué
unfairly	injustement
unfaithful	infidèle
unfaithfully	infidèlement
unfamiliar	inconnu
unfavorable	défavorable
unfeeling	insensible
unfinished	inachevé
unfit	inapte
unforeseen	imprévu
unforgiving	impitoyable
unfortunate	malheureux
unfortunately	malheureusement
unfriendly	hostile
unfulfilled	insatisfait
ungovernable	ingouvernable
ungrateful	ingrat
unhappily	malheureusement
unhappy	malheureux
unilateralism	unilatéralisme
unimaginable	inimaginable
unimaginably	inimaginable
unintelligible	inintelligible
unintelligile	inintelligile
unipolar	unipolaire
unjust	injuste
unjustifiable	injustifiable
unjustifiably	injustifiable
unjustified	injustifié
unjustly	injustement
unkind	méchant
unkindly	méchamment
unknown	inconnu
unlamentably	indistinctement
unlawful	illicite
unlawfully	illégalement
unlawfulness	illégalité
unleash	déchaîner
unlikely	improbable
unlucky	malchanceux
unmoved	insensible
unnaturally	anormalement
unnecessary	inutile
unneeded	inutile
unnerve	déconcerter
unnerved	énervé
unnerving	énervant
unnervingly	énervant
unnoticed	inaperçu
unpleasant	désagréable
unpleasantries	désinvestissements
unpopular	impopulaire
unpredictable	imprévisible
unproductive	improductif
unproved	non-prouvé
unproves	non-testé
unravel	démêler
unraveled	démêlé
unreachable	inaccessible
unreadable	illisible
unrealistic	irréaliste
unreasonable	déraisonnable
unreasonably	déraisonnablement
unrelenting	implacable
unrest	troubles
unruly	indiscipliné
unsatisfactory	insatisfaisant
unseemly	inconvenant
unsettle	ébranler
unsettled	instable
unsettling	troublant
unsettlingly	troublant
unsophisticated	simple
unspeakable	indicible
unspeakablely	indiciblement
unstable	instable
unsteadiness	déséquilibre
unsteady	instable
unsuccessful	infructueux
unsure	incertain
unsustainable	insoutenable
untenable	intenable
unthinkable	impensable
unthinkably	impensable
untimely	prématuré
untouched	intacte
untrue	faux
untruthful	mensonger
unusable	inutilisable
unusably	inutilement
unuseable	inutilisable
unuseably	inutilement
unusual	inhabituel
unusually	exceptionnellement
unwanted	indésirable
unwarranted	injustifié
unwelcome	importun
unwell	indisposé
unwieldy	lourd
unwillingness	réticence
unwise	imprudent
unwisely	imprudemment
unworkable	impraticable
unworthy	indigne
unyielding	inflexible
upbraid	reprocher
upheaval	bouleversement
uprising	soulèvement
uproar	tumulte
uproarious	désopilant
uproariously	vaguement
uproarous	capricieux
uproarously	grossièrement
uproot	déraciner
upset	dérangé
upsets	bouleverse
upsetting	bouleversant
upsettingly	bouleversant
useless	inutile
usurp	usurper
usurper	usurpateur
utterly	totalement
vagrant	vagabond
vagueness	imprécision
vainly	vainement
vanity	vanité
vehement	véhément
vengeful	vengeur
vengefully	vengeance
vengefulness	vengeance
venom	venin
venomous	venimeux
venomously	venimeux
vent	évent
vex	vexer
vexing	vexer
vibrate	vibrer
vibrated	vibré
vibrates	vibre
vibrating	vibrant
vicious	vicieux
viciously	vicieusement
viciousness	méchanceté
victimize	victimiser
vile	vil
vileness	bassesse
vilify	diffamer
villainous	infâme
villainously	méchamment
villains	vilains
villianously	villianeusement
vindictive	vindicatif
vindictively	vindictivement
violate	violer
violator	violateur
violators	violateurs
violently	violemment
viper	vipère
virulently	virulente
vociferous	bruyant
vociferously	vocifère
volatile	volatil
volatility	volatilité
vomit	vomir
vomited	vomi
vomiting	vomissement
vomits	vomit
vulgar	vulgaire
vulnerable	vulnérable
wail	lamenter
wane	décliner
waning	déclin
wanton	capricieux
war-like	guerrier
wariness	prudence
warlike	guerrier
warned	averti
warning	Attention
warp	chaîne
warped	voilé
wary	prudent
washed-out	délavé
waste	déchets
wasted	perdu
wasteful	gaspilleur
wastefulness	gaspillage
wasting	gaspillage
water-down	l'eau
watered-down	édulcoré
wayward	rebelle
weak	faible
weaken	affaiblir
weakening	affaiblissement
weaknesses	faiblesses
weariness	lassitude
wearisome	ennuyeux
wedge	coin
weed	cannabis
weep	pleurer
weird	bizarre
weirdly	bizarrement
wheedle	cajoler
whimper	gémissement
whine	gémissement
whining	gémissements
whiny	pleurnicher
whips	fouets
whore	putain
whores	putes
wicked	méchant
wickedly	méchamment
wild	sauvage
wildly	follement
wiles	ruses
wily	rusé
wimpy	mauviette
wince	grimacer
wobble	osciller
wobbled	bouleversé
wobbles	oscille
woe	malheur
woebegone	désolé
woeful	triste
woefully	tristement
womanizing	juvénile
worn	usé
worried	inquiet
worriedly	inquiet
worrier	inquiet
worrisome	inquiétant
worry	inquiéter
worrying	inquiétant
worryingly	inquiétant
worse	pire
worsen	empirer
worsening	détérioration
worst	pire
worthlessness	inutilité
wound	blessure
wounds	blessures
wrangle	dispute
wrath	colère
wreak	assouvir
wreaked	attaqué
wreck	épave
wrest	ravir
wrestle	lutter
wretch	misérable
wretched	misérable
wretchedly	misérablement
wretchedness	misère
wrinkle	ride
wrinkled	ridé
wrong	faux
wrongful	injustifié
wrought	forgé
yawn	bâillement
zap	zapper
zapped	zappé
zealot	fanatique
zealous	zélé
zealously	zélé
zombie	zombi
