abound	bugne
petrify	forstene
petty	smålige
phobia	fobi
phobic	fobisk
phony	falsk
picket	blokadevagt
picketing	blokade
pickets	strejkevagter
picky	kræsne
pig	svin
pigs	svin
pillage	plyndring
pillory	gabestok
pimple	filipens
pitiable	ynkelig
pitiful	ynkelige
pitifully	ynkeligt
pitiless	ubarmhjertig
pitilessly	ubarmhjertigt
pittance	almisse
pity	medlidenhed
plagiarize	plagiere
plague	pest
plaything	legetøj
plea	anbringende
pleas	anbringender
plebeian	plebejer
plight	skæbne
plot	grund
plotters	plottere
ploy	trick
plunder	plyndre
plunderer	plyndrer
pointless	meningsløs
pointlessly	unødigt
poison	gift
poisonous	giftig
poisonously	højtråbende
polarisation	polarisering
pollute	forurene
polluter	forureneren
polluters	forurenere
polution	forurening
pompous	pompøse
poor	fattige
poorer	fattigere
poorest	fattigste
poorly	dårligt
posturing	poseren
pout	surmule
poverty	fattigdom
powerless	magtesløs
prattle	ævl
precarious	usikre
precariously	usikkert
precipitate	udfælde
precipitous	brat
predatory	aggressiv
predicament	knibe
prejudge	foregribe
prejudice	fordomme
prejudices	fordomme
prejudicial	skade
premeditated	overlagt
preoccupy	optager
preposterous	absurd
presumptuous	anmassende
presumptuously	formasteligt
pretence	forstillelse
pretense	forstillelse
pretentious	prætentiøs
pricey	pebret
pricier	dyrere
prick	pik
prickle	pig
prickles	torne
primitive	primitiv
prison	fængsel
prisoner	fange
problematic	problematisk
problems	problemer
procrastination	overspringshandling
profane	blasfemisk
profanity	bandeord
prohibit	forbyde
prohibitive	uoverkommelige
prohibitively	uoverkommeligt
propagandize	propagandereover
proprietary	proprietære
protested	protesterede
protesting	protesterer
protests	protester
protracted	langvarige
provocation	provokation
provocative	udfordrende
provoke	provokere
pry	lirke
pugnacious	stridbar
punch	patrice
punish	straffe
punishable	straffes
punitive	straffende
puny	svagelig
puppet	marionet
puppets	marionetter
puzzled	forundret
puzzling	gådefuldt
quack	kvaksalver
qualms	skrupler
quandary	dilemma
quarrel	skændes
quarrels	skænderier
quarrelsome	stridbar
quash	omstøde
questionable	tvivlsom
quibble	brokker
quibbles	skænderier
rabid	rabiat
racism	racisme
racists	racister
racy	krati
radical	radikal
radicalization	radikalisering
radically	radikalt
radicals	radikaler
rage	raseri
ragged	pjaltet
raging	raser
rail	jernbane
rampage	krigsstien
rampant	grasserende
ramshackle	faldefærdige
rancor	bitterhed
randomly	tilfældigt
rankle	nager
rant	tirade
ranted	rasede
ranting	fantasmer
rape	voldtage
raped	voldtaget
raping	voldtage
rascal	slyngel
rascals	slyngler
rash	udslæt
rattle	rangle
rattled	raslede
rattles	rangler
ravage	hærge
raving	rablende
reactionary	reaktionær
rebellious	oprørsk
rebuff	afvise
rebuke	irettesættelse
recalcitrant	genstridige
recant	afsværge
recessionary	recession
reckless	hensynsløs
recklessly	hensynsløst
recklessness	hensynsløshed
recoil	rekyl
recourses	resurser
redundancy	redundans
redundant	overflødig
refusal	afslag
refuse	nægte
refused	nægtede
refuses	nægter
refusing	nægter
refutation	gendrivelse
refute	tilbagevise
refuted	modbevist
refutes	modbeviser
refuting	gendrive
regress	relatere
regressive	regressiv
regret	fortryde
regretful	beklagende
regretfully	beklagelse
regrets	beklager
regrettable	beklageligt
regrettably	desværre
regretted	fortrudt
reject	afvise
rejected	afvist
rejecting	afvise
rejection	afvisning
rejects	afviser
relapse	tilbagefald
relentless	ubarmhjertig
relentlessly	ubønhørligt
relentlessness	ubønhørlighed
reluctance	tilbageholdenhed
reluctant	modstræbende
reluctantly	modvilligt
remorse	anger
remorseful	angerfuld
remorseless	ubarmhjertige
remorselessly	ubarmhjertigt
renunciation	afkald
repel	frastøde
reprehensible	forkasteligt
repress	undertrykke
repression	undertrykkelse
repressive	undertrykkende
reprimand	irettesættelse
reproach	bebrejdelse
reproachful	bebrejdende
reprove	irettesætte
reprovingly	irettesættende
repudiate	afvise
repudiation	afvisning
repugnance	modvilje
repugnant	frastødende
repulse	repulse
repulsive	frastødende
repulsively	frastødende
resentful	krænket
resentment	vrede
resigned	resigneret
resistance	modstand
restless	rastløs
restlessness	rastløshed
restrict	begrænse
restricted	begrænset
restriction	begrænsning
restrictive	restriktiv
resurgent	genopstået
retaliatory	gengældelsesaktioner
retarded	retarderet
reticent	tilbageholdende
revenge	hævn
revengeful	hævngerrig
revile	håner
reviled	hånet
revoke	tilbagekalde
revolt	opstand
revolting	oprørende
revulsion	afsky
rhetoric	retorik
rhetorical	retorisk
ridicule	latterliggøre
ridiculous	latterlig
ridiculously	latterligt
rife	udbredt
rift	splittelse
rifts	kløfter
rigid	stiv
rigidity	stivhed
rile	ærgre
ripped	rippet
risk	risiko
risks	risici
risky	risikabel
rival	konkurrerende
rivalry	rivalisering
roadblocks	vejspærringer
rocky	stenet
rogue	rogue
rollercoaster	rutsjebane
rot	rådne
rotten	rådne
rough	ru
rubbish	vrøvl
rude	uhøflig
ruffian	bandit
ruffle	flæse
ruined	ødelagt
ruining	ødelægge
ruinous	ruinerende
ruins	ruiner
rumbling	rumlen
rumor	rygte
rumors	rygter
rumours	rygter
rupture	brud
rusts	ruster
rusty	rusten
rut	skure
ruthless	ubarmhjertig
ruthlessly	hensynsløst
ruthlessness	hensynsløshed
ruts	hjulspor
sack	sæk
sacrificed	aflivet
sad	trist
sadden	bedrøve
sadly	desværre
sadness	sorg
sag	synke
sagged	hang
sags	afskalninger
salacious	slibrige
sanctimonious	skinhellige
sap	saft
sarcasm	sarkasme
sarcastic	sarkastisk
sarcastically	sarkastisk
sardonically	sarkastisk
satirical	satirisk
satirize	satirisere
savage	brutal
savagery	vildskab
savages	vilde
scaly	skællende
scam	fup
scams	svindel
scandal	skandale
scandalize	skandalisere
scandalized	forarges
scandalous	skandaløs
scandalously	skandaløst
scandals	skandaler
scant	sparsomme
scapegoat	syndebuk
scar	ar
scarce	knap
scarcely	næppe
scarcity	mangel
scare	skræmme
scared	skræmt
scarred	arret
scars	ar
scary	skræmmende
scathing	sønderlemmende
scathingly	spottende
sceptical	skeptisk
scoff	håner
scolded	skældt
scorching	glohed
scorn	hån
scornful	hånlig
scornfully	hånligt
scourge	svøbe
scrap	skrot
scratch	kradse
scream	skrige
screech	skrig
screwed	skruet
scuffs	skrammer
secretive	hemmelighedsfuld
sedentary	stillesiddende
selfish	selvisk
senile	senil
seriousness	alvor
sever	skille
severe	alvorlig
severity	alvorlighed
shady	lyssky
shallow	overfladisk
sham	falsk
shame	skam
shameful	skammeligt
shameless	skamløs
shark	haj
sharply	skarpt
shimmer	glimmer
shock	chok
shocked	chokeret
shocking	chokerende
shoddy	sjuskede
shortage	mangel
shortcoming	mangel
shortcomings	mangler
shrew	spidsmus
shroud	svøb
shrug	skuldertræk
shun	skye
shunned	undgået
sick	syg
siege	belejring
silly	fjollet
sink	håndvask
skeptical	skeptisk
skinny	mager
skulk	luske
slack	slæk
slander	bagvaskelse
slanderous	bagtalende
slap	smække
slaughter	slagte
sloth	dovendyr
slothful	doven
slow	langsom
slower	langsommere
slowest	langsomste
slowly	langsomt
sluggish	træg
slump	nedturen
slur	nedværdigelse
sly	snu
smack	lussing
smash	smadre
smell	lugt
smoke	røg
smoldering	ulmende
smug	selvglad
snarl	snerren
sneaky	luskede
sneer	vrængen
snub	irettesættelse
soapy	sæbevand
sobering	nedslående
somber	dyster
sore	øm
soreness	ømhed
sorrow	sorg
sorrowful	sorgfuld
sorrowfully	bedrøvet
sorry	undskyld
sour	sur
spilling	spilde
spinster	gammeljomfru
spite	trods
spiteful	ondsindet
split	dele
splitting	opsplitning
spoil	forkæle
spoiled	forkælet
spoils	byttet
sporadic	sporadisk
spotty	plettet
spurious	uægte
sputter	sprutte
squabble	kævl
squander	ødsle
squirm	vride
stagnant	stillestående
stain	plet
starvation	sult
starve	sulte
static	statisk
steal	stjæle
stern	agterstavn
sticky	klæbrig
stiff	stiv
stiffness	stivhed
sting	stik
stole	stjal
stolen	stjålet
stooge	stikirenddreng
stooges	håndlangere
stormy	stormfuld
straggler	efternøler
strained	anstrengt
strange	mærkelig
strangely	mærkeligt
stranger	fremmed
strangle	kvæle
strenuous	anstrengende
stressful	stressende
strict	streng
strictly	strengt
struggle	kamp
stubborn	stædig
stupid	dum
stupidest	dummeste
stupidity	dumhed
stupidly	dumt
sty	stald
stymied	forpurret
subdued	dæmpet
subordinate	underordnet
subservience	underdanighed
subservient	underdanig
suck	suge
sue	sagsøge
sued	sagsøgt
suicidal	selvmordstanker
sulk	surmule
sullen	tvær
superficial	overfladisk
superstition	overtro
superstitious	overtroisk
suppress	undertrykke
surrender	overgivelse
susceptible	modtagelig
suspect	formode
suspicion	mistanke
suspicious	mistænksom
swamped	oversvømmet
swelling	hævelse
swipe	knalde
swollen	opsvulmet
symptoms	symptomer
tainted	plettet
tamper	manipulere
tangle	virvar
tangled	sammenfiltrede
tanked	tanket
tanks	tanke
tantrum	raserianfald
tattered	forhutlet
tease	drille
tedious	kedelig
temper	temperament
temptation	fristelse
tenderness	ømhed
tense	anspændt
tension	spænding
tentative	foreløbige
tentatively	forsøgsvis
terrible	forfærdeligt
terrorize	terrorisere
thirst	tørst
thoughtless	tankeløs
threat	trussel
threatening	truende
threats	trusler
throttle	gashåndtag
thug	bandit
timid	sky
tingling	snurren
tired	træt
tiresome	trættende
tiring	trættende
toil	slid
toll	afgift
topple	vælte
torment	pine
torture	tortur
totalitarian	totalitær
touchy	nærtagende
toughness	sejhed
toxic	toksisk
trap	fælde
trapped	fanget
trash	affald
treacherous	forræderiske
treacherously	forræderisk
treachery	forræderi
treason	forræderi
trivial	trivielt
trouble	problemer
troublesome	generende
tumbled	tumlede
tumultuous	omtumlet
turmoil	oprør
twist	vride
twisted	snoet
ugly	grim
unacceptable	uacceptabel
uncaring	ufølsom
uncertain	usikker
uncivil	ucivil
unclean	urene
unclear	uklar
uncomfortable	ubehageligt
uncomfortably	ubehageligt
uncompetitive	konkurrencedygtige
uncompromising	kompromisløs
undermine	underminere
undignified	uværdige
unequal	ulige
unexpected	uventet
unfamiliar	ukendt
unfinished	ufærdige
unfit	uegnet
unforeseen	uforudset
unforgiving	nådesløs
unfortunate	uheldig
unfortunately	desværre
unfounded	ubegrundet
unfriendly	uvenlig
ungrateful	utaknemmelig
unhappily	ulykkeligt
unprepared	uforberedt
unproductive	uproduktive
unprofitable	urentable
unsavory	usmagelig
unscrupulous	skrupelløs
unseemly	usømmeligt
unsettle	skræmme
unsettled	uafviklede
untenable	uholdbar
untrue	usandt
untrustworthy	utroværdig
untruthful	usandfærdig
unusual	usædvanlig
uprising	opstand
uproar	tumult
uproot	udrydde
upset	ked
urgent	presserende
useless	ubrugelig
usurp	tilrane
usurper	tronraneren
utterly	aldeles
vagrant	vagabond
vague	vag
vagueness	vage
vainly	forgæves
vanity	forfængelighed
vehement	heftige
vehemently	heftigt
vengeance	hævn
vent	aftræk
vexation	ærgrelse
vexing	ærgerlige
vicious	ond
vile	nederdrægtig
vilify	bagvaske
villainous	skurkagtige
villains	skurke
vindictive	hævngerrig
vindictively	hævngerrigt
vindictiveness	hævngerrighed
violate	overtræder
violation	krænkelse
violent	voldsom
violently	voldsomt
viper	hugorm
volatile	flygtig
volatility	volatilitet
wack	excentriker
wallow	svælge
wanton	kåd
warning	advarsel
wary	vagt
waste	spild
wasted	spildt
wayward	egensindige
weak	svag
weaken	svække
weakening	svækkelse
weaker	svagere
weakness	svaghed
weaknesses	svagheder
wearisome	trættende
wedge	kile
weed	ukrudtsplante
weep	græde
weird	mærkelig
weirdly	anderledes
whimper	klynken
whining	klynker
wicked	ond
wickedly	ugudeligt
wickedness	ondskab
wild	vild
woe	ve
woeful	kedelige
woefully	sørgeligt
womanizer	skørtejæger
worried	bekymret
worries	bekymringer
worrisome	bekymrende
worryingly	bekymrende
worse	værre
worsen	forværre
worst	værst
worthless	værdiløs
worthlessness	værdiløshed
wounds	sår
wrangle	skændes
wrath	vrede
wreck	vrag
wrong	forkert
wrongful	uretmæssig
wrongly	fejlagtigt
wrought	smede
yawn	gabe
zealot	fanatiker
zealous	ivrig
