abound	florerer
shockingly	sjokkerende
short-lived	Kortlevd
shortage	mangel
shortcoming	brist
shortcomings	mangler
shortness	kortpustethet
shortsighted	kortsiktig
shortsightedness	nærsynthet
shrew	spissmus
shriek	skrik
shrill	skingrende
shrivel	skrumpe
shroud	liksvøpet
shrouded	innhyllet
shrug	skuldertrekk
shunned	skydd
sick	syk
sicken	kvalm
sickening	kvalm
sickly	sykelig
sickness	sykdom
sidetrack	sidesteg
sidetracked	avsporet
siege	beleiring
silly	dum
simplistic	forenklede
sin	synd
sinful	syndig
sinfully	syndig
sinister	skummel
sink	synke
sinking	synker
skeletons	skjeletter
skeptic	skeptiker
skeptical	skeptisk
skepticism	skepsis
sketchy	tvilsom
skimpy	snau
skinny	mager
slack	slakk
slander	bakvaskelse
slanderer	baktaler
slanderous	ærekrenkende
slanderously	spottes
slanders	bakvaskelser
slap	dask
slaughter	slakte
slaughtered	slaktet
slaves	slaver
slime	slim
slogged	traska
sloppily	slurvete
sloppy	slurvet
sloth	dovendyr
slothful	late
slow	langsom
slow-moving	saktegående
slowed	bremset
slower	tregere
slowest	langsomste
slowly	sakte
sluggish	treg
slump	nedgangen
slur	Nedsmelting
slut	ludder
smash	knuse
smear	smøre
smell	lukt
smelled	luktet
smelling	lukt
smells	lukter
smelly	stinkende
smoke	røyk
smokescreen	røykteppe
smolder	ulme
smoldering	ulmende
smother	kvele
smoulder	ulme
smouldering	ulmende
smudged	flekkete
smudges	flekker
smudging	flekker
smug	selvgode
smugly	tilfreds
smut	sote
smutty	Sotet
snag	ulempe
snare	skarptromme
snarky	spydig
snarl	snerr
sneak	snike
sneaky	sleipe
sneer	flir
sneering	flirte
snob	snobb
snobbish	snobbete
snobby	snobbete
snobs	snobbene
soapy	såpe
sob	hulke
sober	edru
sobering	tankevekkende
solemn	høytidelig
solicitude	omsorg
somber	sturen
sore	sår
sorely	sårt
soreness	sårhet
sorrow	sorg
sorrowful	sorgfull
sorrowfully	sorrow
sorry	Beklager
sour	sur
spank	slå
spew	spy
spewed	spydd
spewing	spyr
spilling	søle
spiritless	spirit
spiteful	ondskapsfull
split	dele
spoilage	forringende
spoiled	bortskjemte
spook	Spook
spooky	skummelt
spoon-fed	skje-matet
spoon-feed	skje-mate
sporadic	sporadisk
spotty	flekkete
spurious	falsk
sputter	frese
squabble	kjekle
squabbling	krangle
squander	sløse
squeak	knirker
squeaks	knirking
squeal	hyle
squealing	angiveri
squirm	vri
stab	stikke
stagnant	stillestående
stagnate	stagnere
stagnation	stagnasjon
staid	trauste
stain	flekk
stains	flekker
stale	Ståle
stalls	boder
stammer	stamme
stampede	panikk
standstill	stillstand
startle	skremme
startling	oppsiktsvekkende
startlingly	forbausende
starvation	sult
starve	sulte
static	statisk
steal	stjele
stealing	stjele
steals	stjeler
steep	bratt
steeply	bratt
stench	stank
stereotypical	stereotype
stern	Stern
stew	lapskaus
sticky	klissete
stiff	stiv
stiffness	stivhet
stifle	kvele
stifling	kvelende
stigmatize	stigmatisere
sting	stikke
stingy	stikkende
stink	stinke
stinks	stinker
stodgy	kjedelig
stole	stjal
stolen	stjålet
stormy	storm-
straggler	nøler
strain	press
strained	anstrengt
straining	anstreng
strange	rar
strangely	merkelig
stranger	fremmed
strangest	rareste
strangle	kvele
streaky	stripete
strenuous	anstrengende
stress	understreke
stresses	påkjenninger
stressful	stress
stressfully	stress
stricken	slått
strict	streng
strictly	strengt
strident	skingrende
strife	stridigheter
strike	streik
stringent	strengere
stringently	strengt
struck	rammet
struggle	streve
struggled	slet
struggles	kamper
struggling	sliter
strut	spankulere
stubborn	sta
stubbornly	sta
stubbornness	stahet
stuffy	trykkende
stumble	snuble
stumbled	snublet
stumbles	snubler
stump	stubbe
stumped	stabbet
stumps	stubber
stun	velde
stunted	forkrøplet
stupid	dum
stupidest	dummeste
stupidity	dumhet
stupidly	idiotisk
stupify	Stupify
stutter	stamme
stuttered	stotret
stuttering	stamming
stutters	stamming
sty	svinesti
stymied	hindret
sub-par	underordnet
subdued	dempet
subjected	kastet
subjection	under
subjugate	underkue
subjugation	undertrykkelse
submissive	underdanig
subordinate	underordnet
subpoena	stevning
subpoenas	stevninger
subservience	underdanighet
subservient	servil
subversive	undergravende
subvert	grave
succumb	bukke
suck	suge
sucked	sugd
sucks	suger
sue	saksøke
sued	saksøkt
sues	Sues
suffer	lide
suffered	LED
sufferer	lidende
sufferers	lider
suffering	lidelse
suffers	lider
suffocate	kveles
sugar-coat	sukker-coat
suicide	selvmord
sullen	mutt
sunk	senket
sunken	sunket
superficial	overfladisk
superficiality	overfladiskhet
superficially	overfladisk
superfluous	overflødig
superstition	overtro
superstitious	overtroisk
suppress	undertrykke
suppression	undertrykkelse
surrender	overgivelse
susceptible	utsatt
suspect	mistenkt
suspicion	mistanke
suspicions	mistanker
suspicious	mistenkelig
suspiciously	mistenksomt
swagger	sprade
swamped	belastet
sweaty	svett
swelled	svulmet
swelling	opphovning
swindle	svindle
swollen	hoven
symptoms	symptomer
syndrome	syndrom
taboo	tabu
tacky	klebrig
taint	plett
tainted	skjemt
tamper	tukle
tangle	floke
tangled	flokete
tangles	floker
tanked	tanket
tanks	tanker
tantrum	raserianfall
tardy	sen
tarnish	anløpe
tarnished	anløpet
tarnishes	oksiderer
tarnishing	misfarging
tattered	fillete
taunt	spydighet
taunting	spotter
tauntingly	ertende
taunts	erta
taut	stram
tawdry	glorete
tease	plage
teasingly	ertende
tedious	langtekkelig
tediously	ordinært
temper	temperament
tempest	uvær
temptation	fristelse
tenderness	ømhet
tense	anspent
tension	spenning
tentatively	forsøksvis
tenuous	tynn
tepid	lunken
terrible	fryktelig
terribly	fryktelig
terror	skrekk
terror-genic	terror-lende
terrorism	terrorisme
terrorize	terror
testy	Amper
thankless	utakknemlig
thicker	tykkere
thirst	tørst
thorny	tornete
thoughtless	tankeløs
thoughtlessly	tanke
thoughtlessness	tankeløshet
thrash	søppel
threat	trussel
threaten	true
threatening	truende
threats	trusler
threesome	trekant
throb	banke
throbbing	bankende
throttle	Gasspedal
thug	bølle
thwart	hindre
time-consuming	tidkrevende
timid	sjenert
timidity	fryktsomhet
timidly	forsagt
tin-y	tinn-y
tingled	kriblet
tingling	prikking
tired	trett
tiresome	slitsom
tiring	slitsomt
toil	slit
top-heavy	topptung
topple	velte
torment	pine
tormented	pines
tortuous	kronglete
torture	tortur
tortured	torturert
tortures	tortur
torturing	torturere
totalitarian	totalitær
touchy	nærtagende
toughness	seighet
touted	spioner
toxic	giftig
tragedy	tragedie
tragic	tragisk
tragically	tragisk
traitor	forræder
traitorous	forræderiske
tramp	landstryker
trample	tråkke
transgress	overtre
transgression	overtredelse
trap	felle
trapped	fanget
trash	søppel
trashed	kastet
trauma	traume
traumatic	traumatisk
traumatically	traumatisk
traumatize	traumatisere
traumatized	traumatisert
travesty	parodi
treacherous	forrædersk
treachery	forræderi
treason	forræderi
treasonous	forræderisk
trick	triks
tricked	lurt
trickery	lureri
tricky	vanskelig
trivial	triviell
trivialize	bagatell
trouble	problemer
troubled	urolig
troublemaker	bråkmaker
troubles	problemer
troublesome	plagsom
troubling	problema
truant	skulker
tumble	tørkes
tumbled	ramlet
tumultuous	stormende
turmoil	kaos
twist	vri
twisted	vridd
twists	vendinger
tyrannical	tyranniske
tyrannically	tyrannisk
tyranny	tyranni
tyrant	tyrann
uglier	styggere
ugliest	styggeste
ugliness	stygghet
ugly	stygg
ulterior	bakenforliggende
ultimatums	ultimatum
ultra-hardline	ultra-hardere
un-viewable	un-synlig
unacceptable	uakseptabelt
unacceptably	uakseptabelt
unaccustomed	uvant
unachievable	uoppnåelig
unaffordable	uoverkommelig
unattractive	uattraktiv
unavailable	utilgjengelig
unavoidably	uunngåelig
unbearable	uutholdelig
unbelievably	utrolig
uncertain	usikker
uncivilized	usiviliserte
unclean	urent
unclear	uklar
uncollectible	usikrede
uncomfortable	ubehagelig
uncomfortably	ubehagelig
uncomfy	ukomfortabelt
uncompetitive	Jaguaren
uncompromising	kompromissløs
uncompromisingly	kompromissløst
unconfirmed	ubekreftet
unconstitutional	grunnlovsstridig
uncontrolled	ukontrollert
unconvincing	bevis
uncouth	klossete
undecided	usikre
undefined	udefinert
undependable	upålitelig
undercut	underskåret
undercuts	undersnitt
undercutting	stammen
underestimate	undervurder
underlings	undersåtter
undermine	undergrave
undermined	undergraves
undermines	undergraver
undermining	undergrave
underpaid	underbetalt
undersized	underdimensjonert
undesirable	uønsket
undetermined	ubestemt
undid	Angret
undignified	uverdig
undissolved	uoppløst
undocumented	udokumentert
undone	ugjort
undue	utilbørlig
unease	uro
uneasiness	uro
uneasy	urolig
uneconomical	uøkonomisk
unemployed	arbeidsledig
unequal	ulik
unethical	uetisk
uneven	ujevn
uneventful	begivenhetsløs
unexpected	uventet
unexpectedly	uventet
unexplained	uforklarlig
unfairly	urettferdig
unfaithful	utro
unfaithfully	troløst
unfamiliar	ukjent
unfavorable	ugunstig
unfeeling	ufølsom
unfinished	uferdig
unfit	uegnet
unforeseen	uforutsett
unforgiving	uforsonlig
unfortunate	uheldig
unfortunately	dessverre
unfounded	ubegrunnet
unfriendly	uvennlig
unfulfilled	oppfylt
unfunded	udekkede
ungrateful	utakknemlig
unhappily	ulykkelig
unhappiness	ulykkelighet
unhappy	ulykkelig
unhealthy	usunn
unhelpful	uhjelpsom
unilateralism	unilateralisme
unimaginable	utenkelig
unimaginably	ufattelig
unimportant	uviktig
uninformed	uinformert
uninsured	uforsikret
unintelligible	uforståelig
unjust	urettferdig
unjustifiable	utilbørlig
unjustifiably	uberettiget
unjustified	grunnløs
unjustly	urettferdig
unkind	uvennlig
unkindly	uvennlig
unknown	ukjent
unlawful	ulovlig
unlawfully	ulovlig
unleash	frigjøre
unlicensed	ulisensiert
unlucky	uheldig
unmoved	uanfektet
unnatural	unaturlig
unnaturally	unaturlig
unnecessary	unødvendig
unneeded	unødvendige
unnerved	motløs
unnerving	nervepirrende
unnoticed	ubemerket
unorthodox	uortodokse
unpleasant	ubehagelig
unpopular	upopulær
unpredictable	uforutsigbar
unprepared	uforberedt
unproductive	uproduktive
unprofitable	ulønnsom
unproven	uprøvd
unqualified	ukvalifisert
unravel	rakne
unraveled	avslørt
unreadable	uleselig
unrealistic	urealistisk
unreasonable	urimelig
unreasonably	urimelig
unrelenting	nådeløs
unreliability	upålitelighet
unreliable	upålitelig
unresolved	uløst
unrest	uro
unruly	uregjerlig
unsafe	usikre
unsatisfactory	utilfredsstillende
unsavory	usmakelig
unscrupulous	samvittighetsløs
unscrupulously	hensynsløst
unsecure	usikker
unseemly	usømmelig
unsettle	rokke
unsettled	uoppgjorte
unsettling	forstyrrende
unskilled	ufaglært
unsophisticated	usofistikert
unsound	uholdbar
unspeakable	usigelige
unspecified	uspesifisert
unstable	ustabil
unsteadily	ustøtt
unsteadiness	ustøhet
unsteady	ustødig
unsuccessful	mislykket
unsupported	støttes
unsure	usikker
unsuspecting	intetanende
untenable	uholdbar
untested	utestet
unthinkable	utenkelig
unthinkably	utenkelig
untimely	utidige
untouched	urørt
untrue	usann
untrustworthy	upålitelige
untruthful	usann
unusable	ubrukelig
unuseable	ubrukelig
unusual	uvanlig
unusually	used
unwanted	uønsket
unwarranted	uberettiget
unwelcome	uvel
unwell	uvel
unwieldy	uhåndterlig
unwilling	uvillig
unwillingly	uvillig
unwillingness	uvilje
unwise	uklokt
unwisely	uklokt
unworkable	ubrukelig
unworthy	uverdig
unyielding	urokkelig
upbraid	refse
upheaval	omveltning
uprising	oppstand
uproar	opprør
uproot	rykke
upset	urolig
upsets	besvær
useless	ubrukelig
usurp	tilrive
utterly	fullstendig
vague	uklar
vagueness	vaghet
vain	forfengelig
vanity	forfengelighet
vehement	heftig
vehemently	heftig
vengeance	hevn
vengeful	hevngjerrig
venom	giften
venomous	giftig
vestiges	rester
vexation	ergrelse
vibrate	vibrere
vibrated	vibrerte
vibrates	vibrerer
vibrating	vibrerende
vibration	vibrasjon
vicious	ond
viciousness	vicious
victimize	bedra
vile	sjofel
vileness	gemenskapen
vilify	bakvaske
villainous	onde
villains	skurker
villian	skurk
vindictive	hevngjerrig
vindictively	hevngjerrig
violate	bryte
violation	brudd
violator	overtrederen
violators	overtredere
violent	voldelig
violently	voldelig
virulence	virulens
virulent	virulente
vociferous	høyrøstet
volatile	flyktige
volatility	volatilitet
vomited	spydde
vomiting	oppkast
vulgar	vulgær
vulnerable	sårbar
wail	jamre
wane	blekne
waning	avtagende
wanton	vilter
war-like	krigslignende
warily	varsomt
warlike	krigersk
warned	advart
warning	advarsel
warp	varp
warped	skjev
wary	skeptisk
waste	Avfall
wasteful	uøkonomisk
wasting	sløse
water-down	vann-ned
wayward	sindig
weak	svak
weaken	svekke
weakening	svekkelse
weaker	svakere
weakness	svakhet
weaknesses	svakheter
weariness	tretthet
weary	trett
wedge	kile
weed	ugress
weep	gråte
weird	merkelig
weirdly	nifs
whimper	klynk
whine	klynke
whining	klynking
whips	pisker
whore	hore
whores	horer
wicked	ond
wickedly	ugudelig
wickedness	ondskap
wild	vill
wildly	vilt
wily	snedig
wimpy	pysete
wince	krympe
wobble	vingle
wobbled	vaklet
woe	ve
woeful	sørgelig
woefully	sørgelig
womanizer	skjørtejeger
worn	slitt
worried	bekymret
worries	bekymringer
worrisome	bekymringsfull
worry	bekymre
worrying	bekymrings
worryingly	bekymringsfullt
worse	verre
worsen	forverre
worsening	forverring
worst	verst
worthless	verdiløs
worthlessness	verdiløshet
wound	sår
wounds	sår
wrangle	krangle
wrath	vrede
wreak	vrak
wreck	vraket
wrest	fravriste
wrestle	bryte
wretch	stakkar
wretched	elendig
wretchedly	usselt
wretchedness	elendighet
wrinkle	rynke
wrinkled	rynkete
wrinkles	rynker
wrong	feil
wrongful	urettmessig
wrongly	feil
wrought	smidd
yawn	gjesp
zealot	fanatiker
zealous	nidkjær
